MEMBER,PARTY,DISTRICT,TRUMP SCORE,TRUMP MARGIN,PREDICTED SCORE,TRUMP PLUS-MINUS
Brian Higgins,D,NY-26,14.50%,-19.6,21.40%,-7
Trey Hollingsworth,R,IN-9,86.70%,26.9,94.00%,-7.3
Mike Levin,D,CA-49,4.20%,-7.5,11.60%,-7.4
Kathy Castor,D,FL-14,15.10%,-18.2,22.50%,-7.5
Joseph P. Kennedy III,D,MA-4,10.70%,-24.2,18.20%,-7.6
Seth Moulton,D,MA-6,15.40%,-17.9,23.30%,-7.9
Nita Lowey,D,NY-17,12.70%,-20.2,20.70%,-7.9
Lois Frankel,D,FL-21,14.50%,-19.5,22.70%,-8.2
Niki Tsongas*,D,MA-3,19.30%,-22.8,27.70%,-8.3
Katie Porter,D,CA-45,5.60%,-5.4,14.10%,-8.4
Andy Levin,D,MI-9,2.80%,-7.8,11.30%,-8.5
Alex Mooney,R,WV-2,86.90%,36.4,95.50%,-8.6
Raul Grijalva,D,AZ-3,7.30%,-29.9,15.90%,-8.6
Suzan DelBene,D,WA-1,15.70%,-16.3,24.30%,-8.6
Steven A. Horsford,D,NV-4,5.60%,-4.9,14.60%,-9.1
Bonnie Watson Coleman,D,NJ-12,6.00%,-33.2,15.10%,-9.1
Jerry McNerney,D,CA-9,13.00%,-18.6,22.20%,-9.2
John Garamendi,D,CA-3,18.70%,-12.6,28.20%,-9.6
Andy Biggs,R,AZ-5,82.00%,21.1,91.60%,-9.6
Paul A. Gosar,R,AZ-4,86.00%,40.2,95.60%,-9.6
Ted Deutch,D,FL-22,14.00%,-15.8,23.80%,-9.7
Raul Ruiz,D,CA-36,23.40%,-8.8,33.20%,-9.8
Derek Kilmer,D,WA-6,18.70%,-12.3,28.60%,-9.9
Louie Gohmert,R,TX-1,85.60%,46.9,95.60%,-10
Ed Perlmutter,D,CO-7,18.70%,-12,28.80%,-10.1
Jahana Hayes,D,CT-5,5.60%,-4.1,15.90%,-10.3
Rosa L. DeLauro,D,CT-3,14.30%,-15.5,25.00%,-10.7
Ann Kirkpatrick,D,AZ-2,3.10%,-4.9,14.00%,-10.9
William Keating,D,MA-9,18.50%,-10.7,29.80%,-11.2
John A. Yarmuth,D,KY-3,13.90%,-15,25.30%,-11.4
Lisa Blunt Rochester,D,DE-AL,17.80%,-11.4,29.20%,-11.4
Lizzie Pannill Fletcher,D,TX-7,9.70%,-1.4,21.20%,-11.5
Michelle Lujan Grisham*,D,NM-1,25.00%,-16.5,36.50%,-11.5
Matt Gaetz,R,FL-1,84.50%,39.3,96.00%,-11.5
Justin Amash,I,MI-3,63.80%,9.4,75.40%,-11.6
Raúl R. Labrador*,R,ID-1,83.10%,38.3,95.40%,-12.2
Kim Schrier,D,WA-8,5.60%,-3,17.90%,-12.3
James McGovern,D,MA-2,9.00%,-19.4,21.50%,-12.4
Jared Polis*,D,CO-2,17.00%,-21.3,29.50%,-12.5
Darren Soto,D,FL-9,15.60%,-12.9,28.20%,-12.6
Ben R. Lujan,D,NM-3,12.60%,-15.1,25.30%,-12.7
Kathleen Rice,D,NY-4,19.00%,-9.6,31.80%,-12.8
Denny Heck,D,WA-10,16.90%,-11.4,29.70%,-12.9
Colin Allred,D,TX-32,7.00%,-1.9,20.00%,-13
Paul D. Tonko,D,NY-20,13.90%,-13.5,27.30%,-13.4
Peter Visclosky,D,IN-1,15.00%,-12.6,28.50%,-13.5
Josh Harder,D,CA-10,4.20%,-3,17.80%,-13.6
Chellie Pingree,D,ME-1,11.00%,-14.8,25.00%,-14
Emanuel Cleaver,D,MO-5,13.30%,-13.5,27.40%,-14.1
Louise McIntosh Slaughter*,D,NY-25,16.70%,-16.4,31.50%,-14.9
John J. Duncan Jr.*,R,TN-2,80.00%,35.4,94.90%,-14.9
Harley Rouda,D,CA-48,5.60%,-1.7,20.60%,-15
Thomas Suozzi,D,NY-3,21.80%,-6.1,37.20%,-15.4
Sharice Davids,D,KS-3,5.60%,-1.2,21.70%,-16.2
Tom Malinowski,D,NJ-7,5.60%,-1.1,22.00%,-16.4
Susan Wild,D,PA-7,8.00%,-1.1,24.60%,-16.6
Charlie Crist,D,FL-13,26.10%,-3.2,42.90%,-16.9
Frank Pallone Jr.,D,NJ-6,7.80%,-15.6,24.80%,-17
Chris Smith,R,NJ-4,67.70%,14.8,85.20%,-17.6
Jim Langevin,D,RI-2,18.10%,-7.1,35.70%,-17.6
Mark Sanford*,R,SC-1,70.80%,13.1,88.50%,-17.6
Josh Gottheimer,D,NJ-5,34.50%,1.1,53.00%,-18.5
Tom O'Halleran,D,AZ-1,33.30%,1.1,53.00%,-19.7
Kurt Schrader,D,OR-5,21.60%,-4.2,41.30%,-19.7
Ann Kuster,D,NH-2,24.20%,-2.4,44.70%,-20.5
Susie Lee,D,NV-3,6.90%,1,27.90%,-20.9
Mikie Sherrill,D,NJ-11,5.60%,0.9,27.60%,-22
Tim Ryan,D,OH-13,17.00%,-6.5,39.40%,-22.4
Lucy McBath,D,GA-6,6.90%,1.5,29.50%,-22.5
Chris Pappas,D,NH-1,6.90%,1.6,29.80%,-22.9
Angie Craig,D,MN-2,5.60%,1.2,28.50%,-23
Jeff Van Drew,R,NJ-2,16.90%,4.6,41.30%,-24.4
Conor Lamb,D,PA-17,23.70%,2.6,48.60%,-24.9
